Date,Close,Volume,Open,High,Low
10-Nov-17,174.67,25129510,175.11,175.38,174.27
9-Nov-17,175.88,29422610,175.11,176.095,173.14
8-Nov-17,176.24,24358920,174.66,176.24,174.33
7-Nov-17,174.81,24332120,173.91,175.25,173.6
6-Nov-17,174.25,34770480,172.365,174.99,171.72
3-Nov-17,172.5,59332210,174,174.26,171.12
2-Nov-17,168.11,39668100,167.64,168.5,165.28
1-Nov-17,166.89,33482970,169.87,169.94,165.61
31-Oct-17,169.04,35779520,167.9,169.6499,166.94
30-Oct-17,166.72,44651420,163.89,168.07,163.72
27-Oct-17,163.05,44387770,159.29,163.6,158.7
26-Oct-17,157.41,16916650,157.23,157.8295,156.78
25-Oct-17,156.41,21175670,156.91,157.55,155.27
24-Oct-17,157.1,17633730,156.29,157.42,156.2
23-Oct-17,156.17,21888930,156.89,157.69,155.5
20-Oct-17,156.25,23907540,156.61,157.75,155.96
19-Oct-17,155.98,42357420,156.75,157.08,155.02
18-Oct-17,159.76,16252850,160.42,160.71,159.6
17-Oct-17,160.47,18969700,159.78,160.87,159.23
16-Oct-17,159.88,24093300,157.9,160,157.65
13-Oct-17,156.99,16367780,156.73,157.28,156.41
12-Oct-17,156,16380570,156.35,157.37,155.7299
11-Oct-17,156.55,16861450,155.97,156.98,155.75
10-Oct-17,155.9,15603520,156.055,158,155.1
9-Oct-17,155.84,16243080,155.81,156.73,155.485
6-Oct-17,155.3,17223790,154.97,155.49,154.56
5-Oct-17,155.39,21215870,154.18,155.44,154.05
4-Oct-17,153.48,20088940,153.63,153.86,152.46
3-Oct-17,154.48,16216800,154.01,155.09,153.91
2-Oct-17,153.81,18631540,154.26,154.45,152.72
29-Sep-17,154.12,26204670,153.21,154.13,152
28-Sep-17,153.28,21983410,153.89,154.28,152.7
27-Sep-17,154.23,25402270,153.8,154.7189,153.54
26-Sep-17,153.14,35907770,151.78,153.92,151.69
25-Sep-17,150.55,44366140,149.99,151.83,149.16
22-Sep-17,151.89,46575410,152.02,152.27,150.56
21-Sep-17,153.39,37350060,155.8,155.8,152.75
20-Sep-17,156.07,52126240,157.9,158.26,153.83
19-Sep-17,158.73,20565620,159.51,159.77,158.44
18-Sep-17,158.67,28157630,160.11,160.5,157.995
15-Sep-17,159.88,48846060,158.47,160.97,158
14-Sep-17,158.28,23637310,158.99,159.4,158.09
13-Sep-17,159.65,44866280,159.87,159.96,157.91
12-Sep-17,160.86,71574560,162.61,163.96,158.77
11-Sep-17,161.5,31506890,160.5,162.05,159.89
8-Sep-17,158.63,28411740,160.86,161.15,158.53
7-Sep-17,161.26,21905160,162.09,162.24,160.36
6-Sep-17,161.91,21610300,162.71,162.99,160.52
5-Sep-17,162.08,29491910,163.75,164.25,160.56
1-Sep-17,164.05,16564340,164.8,164.94,163.63
31-Aug-17,164,26729940,163.64,164.52,163.48
30-Aug-17,163.35,27215770,163.8,163.89,162.61
29-Aug-17,162.91,29451050,160.1,163.12,160
28-Aug-17,161.47,25649890,160.14,162,159.93
25-Aug-17,159.86,25184600,159.65,160.56,159.27
24-Aug-17,159.27,19782170,160.43,160.74,158.55
23-Aug-17,159.98,19376940,159.07,160.47,158.88
22-Aug-17,159.78,21564890,158.23,160,158.02
21-Aug-17,157.21,26330070,157.5,157.89,155.1101
18-Aug-17,157.5,27391950,157.86,159.5,156.72
17-Aug-17,157.86,27377960,160.52,160.71,157.84
16-Aug-17,160.95,27607370,161.94,162.51,160.15
15-Aug-17,161.6,29377630,160.66,162.195,160.14
14-Aug-17,159.85,22074760,159.32,160.21,158.75
11-Aug-17,157.48,26208970,156.6,158.5728,156.07
10-Aug-17,155.32,39636190,159.9,160,154.63